Tipo de Manifestação;Assunto;Subassunto;Resposta à Pesquisa;Resposta à pesquisa;Respostas à Manifestação;Resposta à manifestação;A sua demanda foi atendida?;A resposta fornecida foi fácil de compreender?;Você está satisfeito(a) com o atendimento prestado?;Nº Manifestação;Teor da Demanda;Parecer da área técnica;Deixe aqui seu comentário:;Necessidade de Reabertura;Área
Reclamação;;;12/06/2025;12/06/2025 13:15:54;11/06/2025;11/06/2025 16:05:45;Não;Regular;😠 Muito Insatisfeito;25072.024781/2025-71;Segue em anexo a reclamação referente aos sucessivos INDEFERIMENTOS dos processos de LTA (Laudo Técnico de Avaliação) junto a vigilância sanitária do Município de Campinas.;"Prezado cidadão,

O licenciamento sanitário deve ser por CNPJ e qualquer ""terceirização"" entre pessoas jurídicas diferentes deve ser prevista em contrato formal. A competência para emissão de alvará sanitário é da vigilância sanitária local.

A execução de ações e serviços de vigilância sanitária é de responsabilidade dos municípios e, em caráter complementar, dos estados; cabendo à Anvisa a coordenação do Sistema Nacional de Vigilância Sanitária (SNVS). Orientamos assim, que entre em contato com o órgão de vigilância sanitária local (que além de possuir a competência para a realização de inspeções in loco pode responder a essa demanda com mais agilidade) por meio dos seguintes canais:

Dados da vigilância sanitária local de Campinas/São Paulo:
Telefone: (19) 3737-8888
Site: https://www.campinas.sp.gov.br/saude/vigilancia-sanitaria.php

Ressaltamos que, caso a vigilância sanitária local já tenha sido acionada e não tenha havido resposta dentro do prazo protocolar do órgão sanitário ou as medidas adotadas não tenham sido suficientes para a resolução da questão, orientamos que entre em contato com a Vigilância Sanitária Estadual ou leve o questionamento para o âmbito jurírico cabível.

Atenciosamente
Anvisa
";O mínimo que a Anvisa poderia fazer, é transferir o caso, dando continuidade no mesmo protocolo, que infelizmente, só perdemos tempo, e vamos ter que abrir um novo protocolo em outra esfera. Lamentável.;SIM;ANVISA
Solicitação;Defesa e vigilância sanitária;Medicamento - Desabastecimento;19/05/2025;19/05/2025 18:40:30;19/05/2025;19/05/2025 17:21:48;Não;Fácil de compreender;🙁 Insatisfeito;25072.024821/2025-85;"Boa tarde. Quero comunicar a falta de vincristina e vimblastina no mercado.
Medicamentos essenciais para quimioterapia em pacientes oncológicos";"Prezados,
Esclarecemos que a ANVISA não possui instrumento legal que impeça os laboratórios farmacêuticos de retirarem seus medicamentos do mercado. No entanto, dada a importância desse tema para a saúde pública, a Agência aprovou a RDC 18, de 04de abril de 2014, que regulamenta a forma de comunicação dedes continuação de produção e importação de medicamentos. As empresas devem comunicar a descontinuação definitiva ou temporária de fabricação ou importação de medicamentos com pelo menos 180 dias de antecedência, devendo assegurar o fornecimento normal do produto durante esse período.
Nos casos de descontinuação não-programada da fabricação ou importação de medicamentos decorrente de fato imprevisto, a comunicação à Anvisa deverá ocorrer no prazo máximo de 72 h da ciência do problema. O desrespeito à norma sujeita os infratores às penalidades previstas na Lei nº 6.437, de 20 de agosto de 1977.
Em consulta aos nossos bancos de dados, verificamos que consta notificação de descontinuação temporária do medicamento SULFATO DE VINCRISTINA, protocolada pela empresa ACCORD FARMACÊUTICA LTDA. na data de 30/1/2025 por motivação comercial, para a apresentação: 1 MG/ML SOL INJ CT FA VD TRANS X 2 ML, número de registro: 1553700180018.
Até a presente data, 19/05/2025, a empresa acima citada não havia comunicado a reativação de comercialização.
Com relação ao SULFATO DE VIMBLASTINA, não foi localizado em nosso banco de dados, notificação de descontinuação temporária/definitiva do referido medicamento até a data de 19/05/2025.
Lembramos que o mercado de medicamentos é dinâmico e apresenta flutuações relativas aos procedimentos de importação, estocagem, cadeia de distribuição, dentre outros. Por isso, há possibilidade de faltas pontuais de produtos em alguns pontos de vendas, o que não significa que o mesmo esteja em situação de descontinuação.
Aproveitamos para informar que o Painel de Medicamentos Descontinuados e Reativados está disponível no portal eletrônico da ANVISA, ou diretamente no link: https://www.gov.br/anvisa/pt-br/assuntos/fiscalizacao-e-monitoramento/mercado/descontinuacao-de-medicamentos
Atenciosamente,
GERÊNCIA DE INSPEÇÃO E FISCALIZAÇÃO SANITÁRIA DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS";"O canal se limita a dar uma resposta e não RM resolver um problema.  Como estivéssemos em lados opostos.
Gostaria que tivessem dito quando iram enviar alguém para checar o problema.  Que tivessem me perguntado quais os nomes comerciais que não estou encontrando.  E demonstrasse interesse em melhorar a situação de quem precisa e está sem o medicamento. ";NÃO;CDMED
Reclamação;Serviços e Sistemas;Sistema indisponível;28/05/2025;28/05/2025 09:42:23;22/05/2025;22/05/2025 18:55:48;Sim;Muito fácil de compreender;😀 Muito Satisfeito;25072.024873/2025-51;tem um ano que o sistema bloqueou minha emissão de autorização de importação junto a ANVISA. Ate hoje não consegui emitir tem uma solicitação travando e não consigo emitir novas. Fala que meu cadastro esta desatualizado e não tem nada desatualizado todos os órgãos estão com cadastro atualizado. gostaria de uma resolução do meu problemas pois preciso emitir uma nova autorização para comprar meu medicamento e não consigo.;"Prezado(a),

Informamos que o erro foi corrigido.

Atenciosamente,
Anvisa";MUITO OBRIGADO MESMO. ;;GPCON
Reclamação;Defesa e vigilância sanitária;Medicamento - Outros;27/05/2025;27/05/2025 16:27:49;27/05/2025;27/05/2025 15:39:29;Sim;Muito fácil de compreender;😀 Muito Satisfeito;25072.024944/2025-16;"Prezados,
Porque até o presente momento ainda não foi liberado o remédio para insônia Dayvigo cujo princípio ativo é o lemborexante.
Esse medicamento já foi liberado nos Estados Unidos e, também, no Reino Unido onde foi descoberto em 2019.
Nesses países, esse medicamento já demonstrou a sua eficácia, bem como, também, não causa tolerância e vício; ao contrário dos benzodiazepínicos e outros hipnóticos.
Será que a Anvisa ainda não liberou esse medicamento lemborexante porque tem conchavo com essas indústrias farmacêuticas que não querem que um medicamento bom venha a provocar a derrocada desses medicamentos lixos que estão aí no mercado. É sabido que essas BIOTECs só visam o lucro, pouco se importando com o bem estar dos pacientes?
O Brasil é repleto de máfia: máfia do INSS, máfia do transporte público, máfia das licitações e outras máfias que só levam o nosso país para traz. Espero que a Anvisa esteja trabalhando corretamente em prol do cidadão brasileiro.";"Prezado(a),

Em atenção à solicitação, esclarecemos que o medicamento DAYVIGO ja se encontra com o registro ativo sob o numero 173100007.
Além disso, a substância lemborexante foi incluída na Lista B1 (Lista das substâncias psicotrópicas) da Portaria SVS/MS nº 344/1998, sujeita à prescrição em Notificação de Receita B.
A análise para inclusão na Portaria 344/1998 demonstrou que a referida substância, classificada como sedativa-hipnótica possui, dentre os efeitos adversos importantes, o potencial para causar abuso, principalmente em indivíduos com histórico de abuso ou dependência de álcool ou outras drogas. Quando se observa o contexto brasileiro de alto consumo de medicamentos controlados, audomedicação e consumo de álcool, este evento adverso não deve ser subestimado.
Além disso, esta molécula faz parte de uma classe de medicamentos recentemente lançada no mercado e que ainda não fornece dados de
pós-comercialização suficientes que comprovam o baixo risco de abuso e tolerância. Cabe destacar que, internacionalmente, países como os EUA e a Austrália já classificaram o lemborexante em listas de substâncias controladas.

Atenciosamente,
Anvisa";A Anvisa me convenceu assertivamente sobre os efeitos colaterais do medicamento que em razão de estar no mercado a pouco tempo, ainda não vislumbra se o consumidor do lemborexante vai se viciar e/ou apresentar tolerância ao mesmo.;;GPCON
Sugestão;Defesa e vigilância sanitária;Medicamento - Outros;31/05/2025;31/05/2025 10:33:24;29/05/2025;29/05/2025 08:34:41;Não;Fácil de compreender;😐 Regular;25072.025066/2025-56;"Com a retenção de receitas para Ozempic e outros, vai ficar inviável para os diabéticos pois o uso é contínuo. Vão necessitar de consultas mais frequentes, se particular custo altíssimo; se de convênio vai onerar a empresa; se pelo SUS não vai conseguir consultas com maior frequência. SUGESTÃO: PARA DIABÉTICOS A RECEITA DEVE SER OBRIGATÓRIO, COMO PARA REMÉDIOS GRATUITOS, PORÉM NÃO RETIDA.";"Prezado (a),

Agradecemos a sua manifestação e entendemos a sua reclamação. Entretanto, essa medida tem como objetivo proteger a saúde da população brasileira, especialmente porque foi observado um número elevado de eventos adversos relacionados ao uso desses medicamentos fora das indicações aprovadas pela Anvisa. São medicamentos novos, cujo perfil de segurança a longo prazo ainda não é totalmente conhecido. Por isso, é fundamental o monitoramento e o acompanhamento médico. O uso sem avaliação, prescrição e acompanhamento por profissionais habilitados, de acordo com as indicações autorizadas, pode aumentar os riscos e os potenciais danos à saúde. Com a vigência da regra, as receitas terão validade de 90 dias, período durante o qual poderão ser utilizadas pelo paciente. As regras são semelhantes à prescrição de antimicrobianos e os profissionais de saúde têm a liberdade de realizar o manejo das prescrições conforme orientações disponibilizadas na Nota Técnica https://www.gov.br/anvisa/pt-br/assuntos/fiscalizacao-e-monitoramento/sngpc/legislacao/arquivos/9170json-file-1.

Atenciosamente,

Gerência de Farmacovigilância
";Lamentável a ANVISA não criar procedimentos para atender os contribuintes, que a sustentam com seus impostos e tem doenças crônicas como diabetes. Não tem sentido reter a receita desses contribuintes, na maioria de baixíssima renda e que não podem pagar consultas frequentes e pelo SUS  com as consultas de difícil agendamento pelo SUS. Lamentável. ;NÃO;GFARM
Solicitação;Certidões e Declarações;CIVP - Dificuldade de obtenção;27/05/2025;27/05/2025 09:34:10;26/05/2025;26/05/2025 16:19:03;Sim;Muito fácil de compreender;😀 Muito Satisfeito;25072.025104/2025-71;"Olá equipe ANVISA,


Sou Fernando Marlos Barbosa, CPF: 026.714.977-84. Eu fiz a solicitação do CIVP (Certificado de Vacina Internacional) em 12 de maio de 2025 (segunda-feira). Eu e a minha esposa também fizemos. Os nossos já chegaram e o da minha Filha VITÓRIA ALVES BARBOSA, CPF: 169.158.937-33 não chegou. Gostaria de saber como proceder já que entramos no site da ANVISA e ainda não tivemos êxito. Documento em anexo.

Sem mais no momento,

Atenciosamente,

Fernando Marlos

Obs.: A viagem está chegando e preciso de ajuda visto que não consigo o documento e não consegui nenhuma resposta do órgão. Socorroooooooo!!!!";"Prezado,

Informamos que o Certificado Internacional de Vacinação ou Profilaxia (CIVP) para febre amarela foi emitido em 11/05/2025, sob o protocolo nº 036687.8185477/2025.


O certificado fica disponível em sua conta do Portal de Serviços. Acesse a página https://solicitacao.servicos.gov.br/processos/ e, na aba ""Minhas solicitações"", clique no ícone “Responder” ao lado do mencionado protocolo, para imprimir o CIVP. O Certificado deve ser impresso em folha A4 e assinado no campo ""Cuja assinatura segue"". Sempre que for necessário reimprimir o CIVP, basta acessar o Portal de Serviços, na página https://solicitacao.servicos.gov.br/processos/, e, na aba ""Minhas solicitações"", com a chave virada para “Concluídas”, clique no ícone “Ver” ao lado do mencionado protocolo.

Esclarecemos que o Portal de Serviços do Governo Federal é gerido pelo Ministério da Gestão e Inovação em Serviços Públicos, não tendo a Anvisa qualquer gestão pelas falhas técnicas de acesso, cadastro e abertura de protocolos. Caso aconteça algum problema, orientamos que verifique se alguma resposta listada neste FAQ (http://faq-login-unico.servicos.gov.br/en/latest/) possa solucioná-lo.

Atenciosamente,
Agência Nacional de Vigilância Sanitária (Anvisa)";Muito obrigado. Resolveram rapidinho.;;COVIG
Denúncia;Defesa e vigilância sanitária;Medicamento - Outros;22/04/2025;22/04/2025 18:01:12;14/08/2022;14/08/2022 23:17:45;Parcialmente Atendida;Regular;😐 Regular;25072.025252/2022-42;"Bom dia.
Venho relatar um caso com consumidora extremamente GRAVE.
PRODUTO: Antibiótico Zinnat® Pó para Suspensão Oral 70Ml

Paciente: Cecília Dhessichk Gimenes Data Nasc. 09.02.2020.
Enfermidade: Gripe severa.
Posologia: 8 em 8 horas por 10 dias.

No dia 09.05.2022, por volta das 22:30, adquiri o remédio Zinnat® Pó para Suspensão Oral 70Ml para tratamento da doença da minha filha.

Agendei o calendário de aplicação do remédio às 00:00, 08:00, 16:00. Iniciado do dia 09.05.2022 para o dia 10.05.2022.

Sendo uma mãe leiga no quesito de medicações, fiz o preparo da solução médica EXATAMENTO conforme orientado na bula do remédio.

Adicionei os 25ml de água filtrada, fiz as movimentações do frasco, aguardei os períodos indicados até o armazenamento na geladeira 1 horas antes da utilização. O produto ficou espesso, porém, segui exatamente o que consta na bula.

Enfim, minha filha reclamou muito para tomar as doses espessas, porém, seguindo a ORIENTAÇÃO da bula de vocês, não manipulei mais o produto. Ministrei EXATAMENTE a dosagem de 5ML orientada pela médica.

Estranhei que após a 6 dosagem, me restou apenas 1 dosa no frasco. Me dirigi até a farmácia para adquirir mais uma caixa, e levei a bula para obter alguma orientação. Pois, pelos cálculos, o frasco deveria durar 14 doses (70Ml/5Ml).

A farmacêutica leu comigo a bula e me informou que eu fiz exatamente o que constava na bula, porém o que eu não e NÃO estava na bula, era completar o frasco com água durante a preparação do remédio para inicio do uso.

Temos dois problemas graves aqui:
1. Sem dúvida, o fato de eu ter dado doses extremamente concentradas de remédio para uma criança de 2 anos. tive que levá-la ao médico torcendo para ela não ter sequelas.
2. Tive que adquirir 2 caixas deste produto ao valor de 95,00 cada caixa.

Eu guardei as caixas, bulas e vidros dos produtos. Tenho fotos duas caixas/remédios, vídeos e evidências do ocorrido.

Solicitei uma retratação do laboratório. O que eu recebi como devolutiva, foi que a bula estava adequada e que realizaram testes no produto do lote especificado onde o mesmo estava de acordo. Não entendo porque eles testaram os produtos sendo que a denúncia estava associada à bula irregular.

Link dos vídeos:
https://photos.app.goo.gl/Vi6F7YKQNKGcgffb6
";"Prezado (a) Senhor(a),

Agradecemos o contato e informamos que a ANVISA fará avaliação e tomada de medidas cabíveis. Caso as informações sejam insuficientes, o usuário poderá ser contatado posteriormente.

Atenciosamente

Coordenação de Inspeção e Fiscalização de Medicamentos (Coime)";"Para mim, a resposta foi inconclusiva. Apenas diz que ""fará avaliação e tomada de medidas cabíveis"". Não tive retorno do resultado, se a empresa se manifestou, se a ANVISA identificou algo. Enfim, inconclusiva. ";NÃO;ANVISA
Reclamação;;;16/06/2025;16/06/2025 14:00:59;30/05/2025;30/05/2025 16:57:44;Não;Fácil de compreender;🙁 Insatisfeito;25072.025619/2025-71;"Trata-se de uma denúncia que envolve risco à saúde de crianças, principalmente pessoas com deficiência.
Hoje comprei um pirulito para minha filha que tem TEA (transtorno do espectro autista). O pirulito é da marca DIPLOKO Monster NEON. Trata-se de um pirulito cuja a haste brilha no escuro. Ocorre que para brilhar no escuro ele tem substancias dentro da haste que ao se movimentarem geram o brilho. O perigo percebido é que minha filha perguntou se poderia beber o líquido dentro da haste, haja vista ser muito chamativo para beber.
Peço que avaliem este produto e eliminem este tipo de haste com brilho para evitar intoxicações, e outros riscos à saúde.

Dados necessários.
CNPJ 05305483-0002-37
PRODUTO IMPORTADO E DISTRIBUIDO
MADE IN CHINA
WWW.DANILABRASIL.COM.BR

LOTE BS240328
";"Prezados(as),

Informamos que a sua denúncia foi recebida e analisada, no entanto, tendo em vista que o líquido presente dentro da haste não é destinado ao consumo como alimento, conforme o destaque na rotulagem, esta demanda não está sob competência desta Coordenação de Inspeção e Fiscalização Sanitária de Alimentos – COALI.
Orientamos que o (a) Senhor(a) registre uma nova denúncia diretamente na Ouvidoria do INMETRO para avaliação quanto à necessidade de certificação compulsória considerando o público-alvo do produto.

Atenciosamente,
Equipe técnica - COALI/GIASC/GGFIS/ANVISA";"Ao invés de solicitarem que a pessoa física registre nova denúncia, esta agência deveria realizar uma comunicação direta com INMETRO até mesmo para respaldar a denúncia que apesar de não ser da competência permite avaliar o risco apresentado na denúncia
";SIM(OK);COALI
Reclamação;Atendimento;;28/05/2025;28/05/2025 07:55:08;27/05/2025;27/05/2025 10:22:36;Não;Fácil de compreender;🙁 Insatisfeito;25072.026338/2025-35;Em 17/04 entreguei no laboratório Lavoisier amostra de pele para análise e foi constatado Melanoma. Fui buscar ajuda no Hospital A C Camargo e eles solicitaram, na consulta de 12/05, a devolução da amostra para aprofundar analise. Nesse mesmo dia fui pessoalmente no Laboratório Lavoisier de Alphaville e solicitei a devolução da amostra e laminas. Isso ocorreu em 12/05 (solicitação anexa) e eu deixei bem claro da URGENCIA da devolução e apesar disso e de diversas mensagem que fiz por whats app desde essa data até hoje (26/05/25), a resposta é sempre a mesma que irão acionar a área responsável e nada acontece. Como pode um Laboratório que deveria estar ao lado de um paciente, ainda mais em caso de um Melanoma, não devolver uma simples amostra do cliente sendo que já se passaram 14 dias e nada de devolver a amostra que está nesse Laboratório desde 17/04? Incrível o desrespeito e falta de responsabilidade desse Laboratório Lavoisier ainda mais em caso de Melanoma. Hoje tive uma nova consulta no Hospital AC Camargo e o médico não conseguiu fazer nada pois a consulta era para verificar o resultado da análise da amostra que já deveria ter sido feita depois da devolução pelo Lavoisier e nem sequer o Lavoisier devolveu. Tenho procedimento marcado para o dia 09/06 e está em sério risco de ter que ser desmarcado por causa dessa irresponsabilidade do Laboratório Lavoisier. Jamais podia pensar que isso pudesse ocorrer, uma empresa que deveria ajudar a salvar vidas parece estar em lado oposto. Estou formalizando com a Anvisa, pois não sei mais o que fazer e nem a quem pedir ajuda nesse caso de extrema importância .;"Prezado(a) Senhor(a),


Agradecemos sua mensagem e informamos que o assunto não é de competência da Anvisa.

A Anvisa concede registros, certificados e licenças para fabricantes e prestadores de serviço que lidam com bens, produtos e insumos relacionados à saúde e estabelece as normas e os padrões sanitários que devem ser adotados no País.


Entendemos que o órgão responsável é o PROCON/SP.

Lamentamos, mas não foi possível o acolhimento de sua demanda.


Como não é possível encaminharmos a manifestação para esse órgão pela plataforma Fala.Br, sugerimos entrar em contato diretamente com a instituição.


Sua opinião é muito importante para nós! Por favor, responda a pesquisa de satisfação e avalie nosso atendimento.


Atenciosamente,

Agência Nacional de Vigilância Sanitária | Anvisa";Deveriam ter encaminhado diretamente ao orgão do Governo competente.  Perdi mais tempo neste grava caso.;NÃO;ANVISA
Denúncia;Defesa e vigilância sanitária;Produtos Fumígenos - Irregularidades;29/05/2025;29/05/2025 20:04:43;29/05/2025;29/05/2025 10:15:12;Não;Muito difícil de compreender;😠 Muito Insatisfeito;25072.026415/2025-57;"O cigarro com filtro de marca MARLBORO GOLD (STRIPES) KS, fabricado pela PHILIP MORRIS, contém uma escrita na embalagem que fere a Resolução da Diretoria Colegiada (RDC) nº 14 de 16 de março de 2012. Na embalagem, anexa como ""foto_cigarro.jpg"", lê-se ""sabor suave"". Isso contraria diretamente o artigo 5 do capítulo 3 do código em questão. No anexo ""consulta_tabaco.pdf"", minha consulta realizada ao site da ANVISA que revelou o processo número 25351925252202046, referente a autorização do uso da embalagem do cigarro em questão. No anexo ""rotulo_3614988.pdf"", a embalagem submetida pela companhia e aprovada pela ANVISA - que não contém a escrita ""sabor suave"".

Dito isso, denuncio uma veemente violação da legislação vigente, que favorece a indústria do tabaco pela utilização de termos apelativos na propaganda, ainda que sabidamente banidos desde 2012.";"Prezado(a) Senhor(a),

Agradecemos o auxílio.

O presente procedimento está classificado em ordem cronológica de atendimento e será devidamente apurado por meio de Processo Administrativo Sanitário, conforme a Lei 6.437/77.

Atenciosamente,

Gerência Geral de Registro e Fiscalização de Produtos Fumígenos Derivados ou Não do Tabaco - GGTAB/DIRE3/ANVISA";Qual número do processo sanitário? qual prazo de resposta? Informações faltantes. Por onde receberei um retorno, se esse canal de comunicação agora se fechou? ;SIM;CCTAB
Denúncia;Defesa e vigilância sanitária;Medicamento - Irregularidades;26/06/2025;26/06/2025 15:24:50;26/06/2025;26/06/2025 09:28:28;Parcialmente Atendida;Fácil de compreender;😐 Regular;25072.026590/2025-44;"Assunto: DENÚNCIA – farmácias – manipulação de medicamento com infringência a atos normativos da
ANVISA – publicidade e propaganda ilegais.

SEI: 25351.918959/2025-19
Manifestação recebida na Ouvidoria e inserida no Fala.BR, conforme anexo.";"Prezado(a),

Em atenção à sua denúncia, informamos que a Gerência Geral de Inspeção e Fiscalização Sanitária tomará as providências cabíveis em relação à possível infração e seus responsáveis.

Atenciosamente,
Anvisa";;;CFMED
Denúncia;Defesa e vigilância sanitária;Medicamento - Irregularidades;26/06/2025;26/06/2025 15:23:30;26/06/2025;26/06/2025 09:30:22;Parcialmente Atendida;Fácil de compreender;😐 Regular;25072.026617/2025-07;"Assunto: DENÚNCIA – farmácias – manipulação de medicamento com infringência a atos
normativos da ANVISA – publicidade e propaganda ilegais.

SEI: 25351.918688/2025-93
Manifestação recebida na Ouvidoria e inserida no Fala.BR, conforme anexos
";"Prezado(a),

Em atenção à sua denúncia, informamos que a Gerência Geral de Inspeção e Fiscalização Sanitária tomará as providências cabíveis em relação à possível infração e seus responsáveis.

Atenciosamente,
Anvisa";;;CFMED
Solicitação;Informações processuais;;29/05/2025;29/05/2025 11:21:17;28/05/2025;28/05/2025 17:41:17;Não;Fácil de compreender;😠 Muito Insatisfeito;25072.026668/2025-21;Sou Advogado representante da Novartis Biociência, e estamos tentando obter cópia de um processo administrativo sob o n. 25351.911645/2025-87, para impugnação, desde o dia 21, momento em que peticionei diretamente no SEI, o processo foi concluso na unidade contudo sem qualquer despacho quando a solicitação. Em diligência hoje ao órgão fomos orientados a abri uma solicitação de acesso junto ao 0800, o que foi devidamente realizado através do protocolo n. 2025142237, mesmo esclarecendo que trata-se de um processo digital em que o peticionamento foi realizado direto no processo contendo inclusive todos os instrumentos de representação. Neste ato, gostaríamos de providência quando a desencontro das informações repassadas e principalmente providência para a adequação do fluxo de atendimento do órgão, que por iniciativa própria informa que não possui atendimento ao público, item este garantido pela constituição e que por iniciativa própria esta sendo ignorado pela ANVISA. Concomitatemente estaremos registrando um ouvidoria perante a CGU pedindo providência.;"Prezados,

Informo que a disponibilização de Acesso Externo enviada para Leonardo Conte Azevedo de Souza, e-mail: leonardo@conteazevedosouza.adv.br, em 21/05/2027 e foi Visualizado também em 21/05/2025.

Informo que o referido processo excede a capacidade de envio via sistema SAT.
Lembramos que o fornecimento das mesmas deverão estar de acordo com a PORTARIA PT Nº 53, DE 27 DE JANEIRO DE 2021, que define o procedimento para o fornecimento de cópia de documentos e vista de autos no âmbito da Agência Nacional de Vigilância Sanitária, é preciso que o interessado apresente os documentos para comprovação da legitimidade do requerente e DECRETO Nº 10.543, DE 13 DE NOVEMBRO DE 2020 que dispõe sobre o uso de assinaturas eletrônicas na administração pública federal e regulamenta o art. 4º e 5º da Lei nº 14.063, de 23 de setembro de 2020, quanto ao nível mínimo exigido para a assinatura eletrônica em interações com o ente público.

II - assinatura eletrônica avançada - admitida para as hipóteses previstas no inciso I e nas hipóteses de interação com o ente público que, considerada a natureza da relação jurídica, exijam maior garantia quanto à autoria, incluídos:
a) as interações eletrônicas entre pessoas naturais ou pessoas jurídicas de direito privado e os entes públicos que envolvam informações classificadas ou protegidas por grau de sigilo;
b) os requerimentos de particulares e as decisões administrativas para o registro ou a transferência de propriedade ou de posse empresariais, de marcas ou de patentes;
c) a manifestação de vontade para a celebração de contratos, convênios, acordos, termos e outros instrumentos sinalagmáticos bilaterais ou plurilaterais congêneres;
d) os atos relacionados a autocadastro, como usuário particular ou como agente público, para o exercício de atribuições, em sistema informatizado de processo administrativo eletrônico ou de serviços;
e) as decisões administrativas referentes à concessão de benefícios assistenciais, trabalhistas, previdenciários e tributários que envolvam dispêndio direto ou renúncia de receita pela administração pública;
f) as declarações prestadas em virtude de lei que constituam reconhecimento de fatos e assunção de obrigações;
g) o envio de documentos digitais ou digitalizados em atendimento a procedimentos administrativos ou medidas de fiscalização; e
h) a apresentação de defesa e interposição de recursos administrativos;

I - Procuração original com poderes específicos para tal;
II - Cópia do Cadastro de Pessoa Física (CPF) e do documento de identidade do outorgado;
III - Contrato social com a última alteração ou estatuto social.

A entrega se dará mediante conferência dos documentos de identificação exigidos, inclusive procuração reconhecida em cartório assinada pela empresa.
Responsável legal cadastrado na ANVISA.
Processo possui documento Restrito, Sigilo Fiscal, Art. 198, caput, da Lei nº 5.172/1966

As cópias solicitadas estão disponíveis ao usuário (em CD), a partir de 28/05/2025, no espaço destinado ao atendimento presencial no Edifício Sede da ANVISA (S.I.A. Trecho 5, Área Especial 57 –– BRASÍLIA/DF) onde será reservado um guichê específico para essa finalidade. O horário para retirada do mesmo será de segunda a sexta, das 8:00 às 11:00 e das 14 às 16:00. Ramal 6491
A entrega se dará mediante conferência dos documentos de identificação exigidos, inclusive procuração reconhecida em cartório assinada pela empresa.

Atenciosamente,
Gerência de Gestão de Arrecadação – GEGAR";"O acesso não foi concedido conforme informa a finalização, reforço que trata-se de um taxa equivalente a R$ 500.000,00 que foi imputada a empresa sem que tenha sido dado conhecimento sobre a sua origem, essas informações estão contidas nos despacho que precedem a solicitação de acesso e permanecem bloqueados. A informação de que o processo excede o tamanho do envie é fantasiosa, pois trata-se de dois despacho que creio não ser superior a 2 páginas. A Presente reclamação esta sendo direcionada a GCU para providência.
";SIM;GEGAR
Reclamação;Atendimento;;28/05/2025;28/05/2025 10:47:20;28/05/2025;28/05/2025 10:15:36;Sim;Muito fácil de compreender;😠 Muito Insatisfeito;25072.026777/2025-48;"Olá bom dia ,na data de 27/05/25 estive em uma unidade da empresa Lavoisier diagnóstico para um exame chegando ao local às 8;15 e logo ao chegar a unidade da referida na av.cruzeiro do Sul notei um volume muito grande de pessoas acima do normal para uma empresa com várias unidades. A atendente das senhas ao fazer a ordem de chegado informou que a demora para fazer o primeiro atendimento seria de 30 minutos achei muito mais aguardamos após um período de quase uma hora fui encaminhado para o setor de coleta onde muitos idosos cadeirantes aguardavam em jejum e um número de funcionários insuficiente notoriamente e a demora se estendeu e após um período de quase 4 horas para a realização do exame fui a funcionária responsável pelo setor ao notar que ela estava passando pessoas na frente da minha vez e ela me respondeu o seguinte seu exame necessita de 2 pessoas para ser realizado disse a ela que isso não era problema meu e sim da empresa que se dispôs a fazer esse exame e um alvoroço grande de pessoas reclamando enfim a empresa não tem condições de atendimento profissional naquelas condições por falta de pessoas para o atendimento muita gente e efetivo mínimo uma coisa tão precisa e seria não pode ser tratada desta maneira por favor não acredite em mim va lá e verificar pois com um procedimento a este que estou descrevendo pessoas podem ser diagnosticada erroneamente um ambiente sem qualquer ordem independente do horário de chegada idosos cadeirantes e crianças num espaço resumido preparado para poucas pessoas mais acima de capacidade de atendimento,uma conduta desta que é notório para o bom faturamento da referida mais com a qualidade comprometida espero que alguém que esteja na condição de fiscalizar atente para isso pois uma coisa pior pode acontecer pois vidas estão ali procurando uma solução e não problemas. Porque a empresa quer faturar muito gastando pouco tem que ter um limite para ser justo para a empresa para os funcionários e para o consumidor final .obrigado";"Prezado(a) Senhor(a),


Agradecemos sua mensagem e informamos que o assunto não é de competência da Anvisa.

Entendemos que o órgão responsável é o PROCON.

Como não é possível encaminharmos a manifestação para esse órgão pela plataforma Fala.Br, sugerimos entrar em contato diretamente com a instituição.


Sua opinião é muito importante para nós! Por favor, responda a pesquisa de satisfação e avalie nosso atendimento.



Atenciosamente,

Agência Nacional de Vigilância Sanitária | Anvisa";Obrigado pela atenção ;NÃO;ANVISA
